id,name,party,sector,country
UvdL,Ursula von der Leyen,CDU,Politik,Deutschland
LK,Lars Klingbeil,SPD,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
SW,Sahra Wagenknecht,Die Linke,Politik,Deutschland
CS,Constanze Stelzenmüller,NA,Expertise,USA
CL,Christian Lindner,FDP,Politik,Deutschland
KS,Karl Schlögel,NA,Expertise,Deutschland
LM,Ljudmyla Melnyk,NA,Expertise,Ukraine
KD,Kristina Dunz,NA,Journalismus,Deutschlnad
EL,Egils Levits,NA,Politik,Lettland
AB,Annalena Baerbock,Bündnis 90/Die Grünen,Politik,Deutschland
FT,Frans Timmermans,NA,Politik,Deutschland
AM,Andrij Melnyk,NA,Politik,Deutschland
AGL,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
ER,Egon Ramms,NA,Expertise,Deutschland
RH,Robert Habeck,Bündnis 90/Die Grünen,Politik,Deutschland
CM,Claudia Major,NA,Expertise,Deutschland
KP,Katja Petroskaja,NA,Journalismus,Deutschland
RK,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,NA,NA,NA
501,Folge 501,NA,NA,NA
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA